 , Credit Card, Monthly, Annual
 Overdue Interest rate, ICICI Bank Instant Platinum Credit Card/ ICICI Bank Instant Gold Credit Card/ Fixed Deposit Instant Credit Card, 2.49%, 29.88%
 InterMiles ICICI Bank Credit Cards, 3.50%, 42.00%
 ICICI Bank Coral Credit Card, 3.40%, 40.80%
 ICICI Bank Rubyx Credit Card, 3.40%, 40.80%
 ICICI Bank Sapphiro Credit Card, 3.40%, 40.80%
 ICICI Bank Make My Trip Platinum Credit Card, 3.50%, 42.00%
 ICICI Bank Make My Trip Signature Credit Card, 3.50%, 42.00%
 ICICI Bank Manchester United Platinum Credit Card, 3.67%, 44.00%
 ICICI Bank Manchester United Signature Credit Card, 3.67%, 44.00%
 ICICI Bank HPCL Coral Credit Card, 3.40%, 40.80%
 ICICI Bank HPCL Super Saver Credit Card, 3.50%, 42.00%
 ICICI Bank Accelero Credit Card, 3.40%, 40.80%
 ICICI Bank Mine Credit Card, 3.40%, 40.80%
 ICICI Bank Expressions Credit Card, 3.40%, 40.80%
